hour,Technology,value
285,demand,6504.421451647029
286,demand,6068.510465000999
287,demand,5690.330152686044
288,demand,5266.923536283994
289,demand,5020.529148966232
290,demand,4885.460161161574
291,demand,4830.81311636039
292,demand,4750.842025754608
293,demand,4697.189830311504
294,demand,5300.698390894898
295,demand,6052.048069700379
296,demand,6607.959630718615
297,demand,6670.060473543698
298,demand,6633.368498251852
299,demand,6443.478109445288
300,demand,6205.661143131615
301,demand,6120.169177416089
302,demand,6063.851150305187
303,demand,6138.366230466958
304,demand,6404.070405529386
305,demand,6933.62403359
306,demand,6938.801582436637
307,demand,6826.156125950718
308,demand,6693.137502524822
309,demand,6436.634524687608
310,demand,6090.504192298001
311,demand,5882.4537630732175
312,demand,5586.075925966772
313,demand,5745.352225921458
314,demand,5653.098538420282
315,demand,5612.126127632404
316,demand,5578.7448952758095
317,demand,5531.566109044738
318,demand,6149.536874479766
319,demand,6929.7387740460235
320,demand,7499.92651489519
321,demand,7589.918027033658
322,demand,7418.656714199153
323,demand,7161.979944541964
324,demand,6908.915668751179
325,demand,6808.438723814511
326,demand,6781.885491098235
327,demand,6839.388341656436
328,demand,7175.498968100604
329,demand,7807.977987358787
330,demand,7816.791338794072
331,demand,7680.427009251206
332,demand,7472.36922199918
333,demand,7124.713447305934
334,demand,6654.531094926473
335,demand,6275.753540219988
336,demand,5879.562527908654
337,demand,5432.0046084525675
338,demand,5310.238053007742
339,demand,5273.158751440005
340,demand,5327.473008970295
341,demand,5567.013507109679
342,demand,6629.452256174007
343,demand,7596.733558799465
344,demand,8088.755135542563
345,demand,8026.963523894629
346,demand,7813.521738541531
347,demand,7617.19556030752
348,demand,7486.509154503103
349,demand,7455.208004178653
350,demand,7306.234206543739
351,demand,7118.853981503551
352,demand,7257.995367377151
353,demand,7702.3302539134675
354,demand,7596.103011365141
355,demand,7401.6169341064815
356,demand,7112.7583482077935
357,demand,6674.093907027373
358,demand,6138.0758408659785
359,demand,5710.740765838766
360,demand,5300.422416486567
361,demand,4999.631545278666
362,demand,4868.347540374215
363,demand,4843.114403565598
364,demand,4911.715856878274
365,demand,5233.730724516716
366,demand,6303.909513159548
367,demand,7258.327978312476
368,demand,7706.309263480429
369,demand,7657.29024998414
370,demand,7507.091239702817
371,demand,7356.864416385035
372,demand,7194.454417336289
373,demand,7123.1765124327185
374,demand,7021.884980613061
375,demand,6975.393081715574
376,demand,7134.694530453417
377,demand,7509.719064231795
378,demand,7430.544462669721
379,demand,7248.96975257496
380,demand,6993.835923095288
381,demand,6607.799676690158
382,demand,6125.349563733118
383,demand,5724.635554341402
384,demand,5341.806713345376
385,demand,5527.78923070626
386,demand,5418.334741708042
387,demand,5381.180459024681
388,demand,5460.928627195909
389,demand,5765.024314236463
390,demand,6855.208062923393
391,demand,7873.3446059480575
392,demand,8405.507667135716
393,demand,8373.338350729568
394,demand,8179.797582031668
395,demand,7936.117190676693
396,demand,7731.34707742863
397,demand,7680.88087939702
398,demand,7631.3888061663865
399,demand,7647.379944722199
400,demand,7888.966540303736
401,demand,8399.949457253466
402,demand,8365.292716212574
403,demand,8239.918406552148
404,demand,8008.3281364934
405,demand,7616.771130014807
406,demand,7128.317887026717
407,demand,6757.3744660855045
408,demand,6343.906953119786
409,demand,6413.369845700792
410,demand,6328.265107535256
411,demand,6319.707038448172
412,demand,6419.526958070497
413,demand,6697.46090212875
414,demand,7822.042853624169
415,demand,8879.952823484457
416,demand,9459.32333450684
417,demand,9417.923282629275
418,demand,8931.661407682617
419,demand,8447.261971275826
420,demand,8093.77931238545
421,demand,7908.649024478862
422,demand,7740.179875240754
423,demand,7652.029958200446
424,demand,7931.488471795485
425,demand,8599.19484142369
426,demand,8603.380392029332
427,demand,8449.778056392799
428,demand,8218.377302925375
429,demand,7789.298523746126
430,demand,7255.504751447969
431,demand,6849.809289272247
432,demand,6424.107505286517
433,demand,6249.741128296757
434,demand,6156.897753664994
435,demand,6157.2273336698545
436,demand,6249.569951045986
437,demand,6544.971089104667
438,demand,7686.237729856859
439,demand,8734.419759816466
440,demand,9320.817474630561
441,demand,9222.904696797847
442,demand,8787.075830785558
443,demand,8308.666728044784
444,demand,7890.127152589483
445,demand,7635.951111764642
446,demand,7462.205054919181
447,demand,7414.032623881015
448,demand,7642.618765948044
449,demand,8294.17352647177
450,demand,8298.523996093774
451,demand,8156.698023544583
452,demand,7943.635347316869
453,demand,7599.4928202599585
454,demand,7173.941597179462
455,demand,6808.023029211512
456,demand,6389.02866652939
457,demand,6200.846896483918
458,demand,6062.177218047383
459,demand,5985.292394249377
