Onshore turbines,Offshore trubines fixed,Utility scale PV,"Biogas, Basic plant, large",CCS
0.0,127917.58711002517,0.0,0.0,0.0
0.0,120267.38477858451,0.0,0.0,0.0
0.0,119038.09145848836,0.0,0.0,0.0
0.0,120082.24941537816,0.0,0.0,0.0
0.0,121225.80522392644,0.0,0.0,0.0
0.0,123044.75845130572,0.0,0.0,0.0
0.0,127021.83948137121,0.0,0.0,0.0
0.0,131259.3593575638,0.0,0.0,0.0
0.0,134513.57500303735,0.0,0.0,0.0
0.0,135356.6033291542,0.0,0.0,0.0
0.0,139694.41344103258,0.0,0.0,0.0
0.0,147358.79094952258,0.0,0.0,0.0
0.0,153877.86220387224,0.0,0.0,0.0
0.0,157086.22303932655,0.0,0.0,0.0
0.0,158302.74840333956,0.0,0.0,0.0
0.0,159103.73171278462,0.0,0.0,0.0
0.0,160028.31021001356,0.0,0.0,0.0
0.0,160813.53950913015,0.0,0.0,0.0
0.0,160679.0641007055,0.0,0.0,0.0
0.0,160444.9505833843,0.0,0.0,0.0
0.0,160411.7264395979,0.0,0.0,0.0
0.0,159364.6853958506,0.0,0.0,0.0
0.0,157811.14777167386,0.0,0.0,0.0
0.0,155412.9686656386,0.0,0.0,0.0
0.0,152656.7719523349,0.0,0.0,0.0
0.0,148109.73210851254,0.0,0.0,0.0
0.0,141195.78092207367,0.0,0.0,0.0
0.0,130576.41099696317,0.0,0.0,0.0
0.0,118094.91018653604,0.0,0.0,0.0
0.0,106550.44692725778,0.0,0.0,0.0
0.0,98204.56260159586,0.0,0.0,0.0
0.0,90402.65498551077,0.0,0.0,0.0
0.0,82820.89164447307,0.0,0.0,0.0
0.0,78980.9631749142,0.0,0.0,0.0
0.0,78582.82260887903,0.0,0.0,0.0
0.0,81982.32523849278,0.0,0.0,0.0
0.0,89724.88931676108,0.0,0.0,0.0
0.0,100179.58006636843,0.0,0.0,0.0
0.0,109706.22575002536,0.0,0.0,0.0
0.0,116005.15272932767,0.0,0.0,0.0
0.0,119721.45168864008,0.0,0.0,0.0
0.0,120786.03151077052,0.0,0.0,0.0
0.0,119571.15362496181,0.0,0.0,0.0
0.0,112995.65624211542,0.0,0.0,0.0
0.0,105218.22054185646,0.0,0.0,0.0
0.0,98418.56315583974,0.0,0.0,0.0
0.0,92749.89955706363,0.0,0.0,0.0
0.0,89818.86421933041,0.0,0.0,0.0
0.0,91074.44854576993,0.0,0.0,0.0
0.0,94867.76711113263,0.0,0.0,0.0
0.0,98447.46266933989,0.0,0.0,0.0
0.0,102858.86014100959,0.0,0.0,0.0
0.0,105563.84774013009,0.0,0.0,0.0
0.0,110490.83724481534,0.0,0.0,0.0
0.0,113988.05592542066,0.0,0.0,0.0
0.0,115961.83778154005,0.0,0.0,0.0
0.0,114400.6462482059,0.0,0.0,0.0
0.0,111747.0736980441,0.0,0.0,0.0
0.0,105472.65295703048,0.0,0.0,0.0
0.0,98723.89578303363,0.0,0.0,0.0
0.0,94784.91268644221,0.0,0.0,0.0
0.0,94622.43014854476,0.0,0.0,0.0
0.0,93726.09903802676,0.0,0.0,0.0
0.0,93346.7671814905,0.0,0.0,0.0
0.0,100111.10675350289,0.0,0.0,0.0
0.0,105368.58725045991,0.0,0.0,0.0
0.0,105147.24168922192,0.0,0.0,0.0
